Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S03773700026,01/26/2012,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,"1556 FIRST AVENUE NE
CEDAR RAPIDS 52402
(41.988968, -91.650752)",57,Linn,1041100,AMERICAN DRY GINS,260,Diageo Americas,30318,Gordon's Gin London Dry - Pet,6,1750,$10.49,$15.74,6,$94.44,10.50,2.77
S07463500049,08/30/2012,3890,Smokin' Joe's #7 Tobacco and Liquor,904  1ST AVE NW,CEDAR RAPIDS,52405,"904 1ST AVE NW
CEDAR RAPIDS 52405
(41.972773, -91.683668)",57,Linn,1022100,TEQUILA,395,Proximo,89193,Jose Cuervo Especial Reposado Tequila,48,200,$3.00,$4.49,3,$13.47,0.60,0.16
S25872900038,05/27/2015,3896,Smokin' Joe's #18 Tobacco and Liquor,1901 BROADWAY ST,IOWA CITY,52240,"1901 BROADWAY ST
IOWA CITY 52240
(41.641037, -91.52047)",52,Johnson,1012100,CANADIAN WHISKIES,260,Diageo Americas,11294,Crown Royal Canadian Whisky,24,375,$7.75,$11.63,2,$23.26,0.75,0.20
S06305800043,06/28/2012,3805,Washington Street Mini Mart,1601 WASHINGTON ST,DAVENPORT,52084,"1601 WASHINGTON ST
DAVENPORT 52084
(41.535834, -90.596255)",82,Scott,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,$8.50,$12.74,24,$305.76,18.00,4.76
S16166000021,12/09/2013,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77,Polk,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34433,Grey Goose Vodka,12,750,$18.49,$27.74,36,$998.64,27.00,7.13
S20272100130,07/23/2014,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,"2351 W LOCUST
DAVENPORT 52804
(41.538207, -90.611972)",82,Scott,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11771,Black Velvet Mini,10,600,$6.80,$10.20,2,$20.40,1.20,0.32
S14565800009,09/16/2013,2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
",42,Hardin,1011100,BLENDED WHISKIES,260,Diageo Americas,25607,Seagrams 7 Crown Bl Whiskey,12,1000,$8.00,$11.99,12,$143.88,12.00,3.17
S13610700068,07/29/2013,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77,Polk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19476,Maker's Mark,12,750,$15.74,$23.61,12,$283.32,9.00,2.38
S15367900008,10/28/2013,2601,Hy-Vee Food Store / Fairfield,1300 WEST BURLINGTON AVE,FAIRFIELD,52556,"1300 WEST BURLINGTON AVE
FAIRFIELD 52556
(41.006456, -91.978702)",51,Jefferson,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34032,Absolut Citron (lemon Vodka),6,1750,$19.00,$28.99,6,$173.94,10.50,2.77
S23807400056,02/02/2015,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,"1990 GRAND AVENUE
WEST DES MOINES 50265
(41.571127, -93.73162)",77,Polk,1031080,VODKA 80 PROOF,301,Fifth Generation Inc.,38176,Titos Vodka,12,750,$9.65,$14.48,12,$173.76,9.00,2.38
